feature,importance
length_of_stay,9.884093716031177
prior_180d_hospitalizations,9.331744222840753
prior_hospitalizations,8.710741261386834
gap_from_previous_discharge_days,8.703813488962439
prior_hd_ktv_measurements,7.2582305428307965
days_since_last_treatment,5.1944005967886975
state,4.727803388710566
primcause,4.727584377718957
age_range,4.486344372650131
recent_3m_hd_ktv_mean,3.928112684491333
hd_ktv_recent_vs_history_delta,3.7896907065646426
recent_hd_ktv,3.74640965685642
primdiag,3.675462942827503
prior_treatment_records,3.6672974078307288
hospitalization_type,3.2909641372635234
recent_6m_hd_ktv_range,3.190793758056665
mean_prior_hd_ktv,3.149042439751533
race,1.5937954835640562
prior_30d_hospitalizations,1.3112533327789644
hospital_admit_diag,1.3013641065965893
ethnicity,1.2113456299481098
gender,1.1279825261248282
recent_90d_treatment_records,0.6374616547350866
recent_30d_treatment_records,0.5561421212611005
hospitalization_modality,0.42588967807400835
prior_hemodialysis_flag,0.20810492180525905
prior_center_hemo_flag,0.16413084354948712
hospital_discharge_diag,0.0
